"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Nabinagar","139110","RABEYA MEMORIAL GIRLS SCHOOL","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","139110","RABEYA MEMORIAL GIRLS SCHOOL","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","139110","RABEYA MEMORIAL GIRLS SCHOOL","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103386","SATGAON ADARSHA HIGH SCHOOL & COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103386","SATGAON ADARSHA HIGH SCHOOL & COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103386","SATGAON ADARSHA HIGH SCHOOL & COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103440","Salimganj College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Nabinagar","103440","Salimganj College","Day","Bangla","Humanities","Co-Edu","2.00","1.00","350"
"Brahmanbaria","Nabinagar","103440","Salimganj College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Nabinagar","103396","Shyamgram Mohini Kishor School And College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","150"
"Brahmanbaria","Nabinagar","103396","Shyamgram Mohini Kishor School And College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Nabinagar","103396","Shyamgram Mohini Kishor School And College","Day","Bangla","Business Studies","Co-Edu","1.50","1.00","150"
"Brahmanbaria","Nabinagar","103441","Sursamrat Alauddin Khan College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103441","Sursamrat Alauddin Khan College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103441","Sursamrat Alauddin Khan College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nasirnagar","103457","Bijoylaxmi School & College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nasirnagar","103457","Bijoylaxmi School & College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nasirnagar","103465","Chatalpar Degree College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nasirnagar","103465","Chatalpar Degree College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","200"
"Brahmanbaria","Nasirnagar","103465","Chatalpar Degree College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nasirnagar","103449","Gokarna Syed Wali Ullah High School & College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
